epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,800.762,0.87343,0.67052,0.00747,0.86906,0.8176,0.89751,0.79573,0.51306,0.55542,0.00436,0.0138162,0.0046054,0.0138162,0.0046054,0.0138162,0.0046054,0.0138162,0.0046054
56,813.164,0.85932,0.67097,0.00739,0.93199,0.76198,0.9005,0.80224,0.47844,0.59747,0.00412,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
57,825.191,0.90393,0.68234,0.00828,0.99208,0.73464,0.858,0.74591,0.55981,0.60469,0.00482,0.0132168,0.0044056,0.0132168,0.0044056,0.0132168,0.0044056,0.0132168,0.0044056
58,837.966,0.86347,0.69114,0.00778,0.91783,0.75613,0.86999,0.7701,0.51288,0.53911,0.00445,0.0129171,0.0043057,0.0129171,0.0043057,0.0129171,0.0043057,0.0129171,0.0043057
59,850.811,0.86239,0.64375,0.00752,0.88914,0.78621,0.86258,0.76678,0.45142,0.53845,0.00391,0.0126174,0.0042058,0.0126174,0.0042058,0.0126174,0.0042058,0.0126174,0.0042058
60,863.598,0.84137,0.62146,0.00728,0.94403,0.77075,0.86899,0.76573,0.50973,0.56588,0.0043,0.0123177,0.0041059,0.0123177,0.0041059,0.0123177,0.0041059,0.0123177,0.0041059
61,876.674,0.83773,0.61558,0.00748,0.95137,0.75104,0.86339,0.73406,0.63352,0.56673,0.00533,0.012018,0.004006,0.012018,0.004006,0.012018,0.004006,0.012018,0.004006
62,889.286,0.8477,0.66289,0.00733,0.92658,0.78517,0.89012,0.78515,0.50041,0.57344,0.00429,0.0117183,0.0039061,0.0117183,0.0039061,0.0117183,0.0039061,0.0117183,0.0039061
63,901.003,0.80997,0.609,0.00714,0.94206,0.76293,0.88758,0.77742,0.50853,0.5497,0.00434,0.0114186,0.0038062,0.0114186,0.0038062,0.0114186,0.0038062,0.0114186,0.0038062
64,913.379,0.8195,0.63487,0.00727,0.94796,0.76074,0.87381,0.77874,0.46844,0.50252,0.004,0.0111189,0.0037063,0.0111189,0.0037063,0.0111189,0.0037063,0.0111189,0.0037063
65,926.392,0.81267,0.64937,0.00749,0.95,0.76778,0.88405,0.79409,0.41667,0.53853,0.00354,0.0108192,0.0036064,0.0108192,0.0036064,0.0108192,0.0036064,0.0108192,0.0036064
66,939.503,0.81424,0.64395,0.00719,0.96537,0.75689,0.89091,0.79892,0.42238,0.50807,0.00367,0.0105195,0.0035065,0.0105195,0.0035065,0.0105195,0.0035065,0.0105195,0.0035065
67,952.473,0.80936,0.63801,0.00754,0.9601,0.76045,0.9129,0.81815,0.46956,0.63764,0.00398,0.0102198,0.0034066,0.0102198,0.0034066,0.0102198,0.0034066,0.0102198,0.0034066
68,965.306,0.79201,0.61296,0.00719,0.95582,0.77242,0.89674,0.80577,0.45111,0.61553,0.00385,0.0099201,0.0033067,0.0099201,0.0033067,0.0099201,0.0033067,0.0099201,0.0033067
69,976.997,0.819,0.61909,0.00746,0.96416,0.76662,0.9032,0.81279,0.45971,0.69524,0.00401,0.0096204,0.0032068,0.0096204,0.0032068,0.0096204,0.0032068,0.0096204,0.0032068
70,989.987,0.83117,0.61023,0.00759,0.96522,0.77065,0.89483,0.79322,0.43351,0.54517,0.00379,0.0093207,0.0031069,0.0093207,0.0031069,0.0093207,0.0031069,0.0093207,0.0031069
71,1003.23,0.80579,0.58892,0.00699,0.97059,0.74502,0.88541,0.77862,0.49415,0.57672,0.00427,0.009021,0.003007,0.009021,0.003007,0.009021,0.003007,0.009021,0.003007
72,1016.21,0.80641,0.59712,0.00711,0.96133,0.76252,0.88447,0.79191,0.47287,0.61998,0.00399,0.0087213,0.0029071,0.0087213,0.0029071,0.0087213,0.0029071,0.0087213,0.0029071
73,1029.33,0.7891,0.5867,0.00682,0.93673,0.766,0.89174,0.8009,0.47843,0.57087,0.0041,0.0084216,0.0028072,0.0084216,0.0028072,0.0084216,0.0028072,0.0084216,0.0028072
74,1042.32,0.79819,0.61263,0.007,0.939,0.76523,0.85783,0.75248,0.53213,0.67338,0.00456,0.0081219,0.0027073,0.0081219,0.0027073,0.0081219,0.0027073,0.0081219,0.0027073
75,1054.35,0.79874,0.60048,0.00732,0.93118,0.753,0.86963,0.78315,0.46129,0.66409,0.00389,0.0078222,0.0026074,0.0078222,0.0026074,0.0078222,0.0026074,0.0078222,0.0026074
76,1066.68,0.78283,0.56481,0.007,0.96846,0.75051,0.87579,0.79626,0.4339,0.56194,0.00368,0.0075225,0.0025075,0.0075225,0.0025075,0.0075225,0.0025075,0.0075225,0.0025075
77,1079.81,0.79752,0.59103,0.00709,0.97565,0.73985,0.8384,0.7155,0.5974,0.59384,0.00523,0.0072228,0.0024076,0.0072228,0.0024076,0.0072228,0.0024076,0.0072228,0.0024076
78,1092.85,0.79086,0.6064,0.007,0.95049,0.76807,0.86785,0.78426,0.42724,0.53713,0.00374,0.0069231,0.0023077,0.0069231,0.0023077,0.0069231,0.0023077,0.0069231,0.0023077
79,1106.1,0.77865,0.58222,0.00684,0.94786,0.78444,0.88917,0.80787,0.41751,0.57804,0.00356,0.0066234,0.0022078,0.0066234,0.0022078,0.0066234,0.0022078,0.0066234,0.0022078
80,1119.27,0.77699,0.59725,0.00696,0.97329,0.76714,0.90463,0.82509,0.41137,0.61141,0.00352,0.0063237,0.0021079,0.0063237,0.0021079,0.0063237,0.0021079,0.0063237,0.0021079
81,1131.68,0.75968,0.595,0.00682,0.91989,0.78316,0.89575,0.81612,0.40483,0.51808,0.00336,0.006024,0.002008,0.006024,0.002008,0.006024,0.002008,0.006024,0.002008
82,1143.78,0.74783,0.58356,0.00657,0.9485,0.77088,0.89668,0.81485,0.39106,0.5586,0.00335,0.0057243,0.0019081,0.0057243,0.0019081,0.0057243,0.0019081,0.0057243,0.0019081
83,1156.67,0.7449,0.59099,0.00648,0.91266,0.7836,0.89144,0.80985,0.39482,0.51655,0.00331,0.0054246,0.0018082,0.0054246,0.0018082,0.0054246,0.0018082,0.0054246,0.0018082
84,1169.78,0.7393,0.56736,0.00667,0.95274,0.73988,0.9,0.81688,0.41027,0.55936,0.00346,0.0051249,0.0017083,0.0051249,0.0017083,0.0051249,0.0017083,0.0051249,0.0017083
85,1183.02,0.73331,0.5457,0.00628,0.92752,0.775,0.90238,0.81901,0.42664,0.54526,0.00363,0.0048252,0.0016084,0.0048252,0.0016084,0.0048252,0.0016084,0.0048252,0.0016084
86,1196.01,0.71793,0.57246,0.00623,0.94165,0.7892,0.89829,0.81861,0.42226,0.52444,0.0036,0.0045255,0.0015085,0.0045255,0.0015085,0.0045255,0.0015085,0.0045255,0.0015085
87,1208.7,0.69518,0.57837,0.0061,0.95228,0.77816,0.892,0.81887,0.40393,0.52109,0.00343,0.0042258,0.0014086,0.0042258,0.0014086,0.0042258,0.0014086,0.0042258,0.0014086
88,1220.44,0.71397,0.54777,0.00651,0.95341,0.77562,0.8682,0.78841,0.41782,0.6139,0.00355,0.0039261,0.0013087,0.0039261,0.0013087,0.0039261,0.0013087,0.0039261,0.0013087
